sample_index,clean_index,trajectory_seed,replicate_id,noise_seed,alpha,method,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,rmse,relative_rmse,denoising_gain,rmse_x,rmse_y,rmse_z
13,1,1,1,1003,0.05,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.3371385716995343,0.21050982964867565,-3.671586510841631,2.4252849284519598,4.0144559885962465,3.378108593817245
14,1,1,1,1003,0.1,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.3443481017754912,0.2109646135647549,-1.3408394863052577,2.4271808807811515,4.015875487919965,3.396399522294461
15,1,1,1,1003,0.2,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.3730321304933404,0.2127740289873686,-0.18045827757035426,2.4347499259342316,4.021548476250755,3.468598839783844
16,2,2,0,1004,0.02,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.245820155389648,0.20275374530160684,-10.127088694027044,2.2227625843042387,3.750433256468748,3.5495946706619104
17,2,2,0,1004,0.05,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.2489631955388534,0.20295007878016588,-3.455145375859619,2.2234818651535524,3.750691646105273,3.557488736323346
18,2,2,0,1004,0.1,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.2601636045296765,0.20364972471342202,-1.2352519762627336,2.226048828302318,3.751614320952904,3.5855399573473927
19,2,2,0,1004,0.2,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.30458563583094,0.2064245960214582,-0.13285443143982434,2.2362872161496616,3.7553027536277472,3.69561623942503
20,2,2,1,1005,0.02,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.2455919169972027,0.202739488138032,-10.094719435814104,2.2227380068693923,3.750481334584375,3.5489331054255238
21,2,2,1,1005,0.05,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.247537821898044,0.202861041239485,-3.440548523979417,2.223328302435413,3.750992103293083,3.553361115141202
22,2,2,1,1005,0.1,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.2544779864070583,0.20329456629011833,-1.2250191085406663,2.2254352234132533,3.752815710375912,3.5691305947487804
23,2,2,1,1005,0.2,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.2820918906381342,0.20501949935394004,-0.12194908110569314,2.2338430324114724,3.7601012946467303,3.631523798121183
