alpha,method,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,mean_rmse,variance_cluster_rmse,mean_relative_rmse,variance_cluster_relative_rmse,mean_denoising_gain,variance_cluster_denoising_gain,mean_rmse_x,variance_cluster_rmse_x,mean_rmse_y,variance_cluster_rmse_y,mean_rmse_z,variance_cluster_rmse_z,n_realizations,n_clusters,eligible_for_ranking
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.705396876493262,0.08248422297073921,0.29309124184548707,0.00035519467014675653,-0.608391039084726,0.013037825407319162,2.753145688022963,0.16743326408759607,4.282668528194505,0.19425741809626043,6.340807503780948,0.2549561898483417,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=2|degree=2,,,64,2.0,64.98412698412699,compact_polynomial,2,4.405880758028421,0.03587632506406011,0.2744466155297854,0.00018008820851301403,-0.5060455729527022,0.007472016612343989,2.6935643059276146,0.0405751029052298,3.8912704638507165,0.05996759287889377,5.960381043345338,0.39696980691881106,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=2|degree=3,,,64,2.0,64.98412698412699,compact_polynomial,3,3.3154257458127874,0.019612434723593836,0.20650329331010303,8.97652725446941e-05,-0.13317659723058556,0.0037881925773554197,2.2307385341361115,0.07736661406242616,3.6231402961362136,0.10783683833100717,3.8413112257507245,0.019854283786898193,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=2|degree=4,,,64,2.0,64.98412698412699,compact_polynomial,4,3.3173117944942634,0.020682542760159215,0.20661227943351695,8.943790099384715e-05,-0.1337039551299076,0.003578610146904751,2.163988011196678,0.07340797833803175,3.6393377696049756,0.08507500665549472,3.8692560770370257,0.047041385185550844,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=4|degree=2,,,64,4.0,129.96825396825398,compact_polynomial,2,3.7367985389327183,0.02131656354801138,0.23273743758076787,9.387536887770694e-05,-0.27709052383448746,0.0040721260499667665,2.592635295537887,0.005136475557260882,3.7911486014974556,0.13400755386059882,4.5511555441436355,0.028969272424241792,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=4|degree=3,,,64,4.0,129.96825396825398,compact_polynomial,3,3.997589746557915,0.1283484607348644,0.24908040451371738,0.0005704911297117396,-0.36731273325269787,0.02021100102752469,2.4697397948249553,0.04590906368356602,3.7718668388280046,0.07610404754471867,5.2528646702138175,0.29171414256816325,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=4|degree=4,,,64,4.0,129.96825396825398,compact_polynomial,4,3.534608971228521,0.016204150791866618,0.22012077717082645,6.075847305075683e-05,-0.20768988146562734,0.002482105391280392,2.443479844689583,0.04126243291062113,3.8036868022607813,0.020051976658138296,4.125265141013031,0.017115792821309032,10,5,True
0.2,kernel_smoothing,kernel|type=gaussian|M=128|ch=1,,,128,1.0,16.118110236220474,gaussian,,1.1935029095800203,0.005267653957386796,0.07435619893165166,2.5772646275842023e-05,0.5919233359914392,0.0009643254725649859,0.5744841286187752,0.0007306860327498595,1.206757305370436,0.02053948367698393,1.5746011255186203,0.0028659700823333014,10,5,True
0.2,kernel_smoothing,kernel|type=gaussian|M=128|ch=2,,,128,2.0,32.23622047244095,gaussian,,1.1981258448001881,0.006470678004332519,0.074648335380535,3.121458880205915e-05,0.5902932161970447,0.001151937628016369,0.5817590987705377,0.0021409048195983526,1.2148117074936884,0.02031420384691785,1.576526241681354,0.004121913557286564,10,5,True
0.2,kernel_smoothing,kernel|type=gaussian|M=128|ch=4,,,128,4.0,64.4724409448819,gaussian,,2.262689702764418,0.03555318318178524,0.14098124614711205,0.00016093835025974805,0.22612761829877534,0.00576071144224641,1.386505275482922,0.01604055877892501,2.5747676184579915,0.03945244826658501,2.6084498763284865,0.0551431788168237,10,5,True
0.2,kernel_smoothing,kernel|type=gaussian|M=32|ch=1,,,32,1.0,66.03225806451613,gaussian,,6.372758971336439,0.18968050545440754,0.39705502289662936,0.0009114652889234831,-1.179338399673291,0.03412327211640388,4.508487047159955,0.140617272930138,6.0108083428809955,0.12803355819479692,8.084803175938223,0.32020154837300985,10,5,True
0.2,kernel_smoothing,kernel|type=gaussian|M=32|ch=2,,,32,2.0,132.06451612903226,gaussian,,6.385375655065223,0.18795369495064881,0.3978359915739033,0.0008976158012556628,-1.1836198615843379,0.03363033090240459,4.589561975015095,0.1620412745603274,6.076294771701278,0.23190336242179851,8.01829263451593,0.22067003621427758,10,5,True
0.2,kernel_smoothing,kernel|type=gaussian|M=32|ch=4,,,32,4.0,264.1290322580645,gaussian,,6.653871717935681,0.1944092175215434,0.4145491625602298,0.0009221199443070913,-1.2753164622005233,0.034738973398163876,5.008828572375233,0.22698116214870676,6.464748159400649,0.25151425267620575,8.117572698518043,0.16182344131096707,10,5,True
0.2,kernel_smoothing,kernel|type=gaussian|M=64|ch=1,,,64,1.0,32.492063492063494,gaussian,,3.2947418876509347,0.0189269651910991,0.20521038478448714,8.448556879464864e-05,-0.12604706801698715,0.0035163913873062255,2.174745553991323,0.08926720990728491,3.6265529309987854,0.105098219085379,3.8134455721780567,0.039986356500167256,10,5,True
0.2,kernel_smoothing,kernel|type=gaussian|M=64|ch=2,,,64,2.0,64.98412698412699,gaussian,,3.3286157785093105,0.0014610659857222687,0.20731396884847678,1.4958595060077263e-05,-0.13740866852186204,0.0009915140766233244,2.2416360647313573,0.03436333793818433,3.699193595165249,0.12782998979332932,3.78242775581628,0.12107160189786262,10,5,True
0.2,kernel_smoothing,kernel|type=gaussian|M=64|ch=4,,,64,4.0,129.96825396825398,gaussian,,5.569147168286553,0.09188735415069883,0.34695072821076406,0.00045915136806900603,-0.9040999109874248,0.017877630656470654,3.531728765805814,0.03118750049477541,5.039302281434281,0.028397604683418676,7.416278694625386,0.43771044093755657,10,5,True
0.2,savitzky_golay,savgol|w=11|p=2,11,2,,,,,,1.3177013121060264,0.0011867878391871648,0.0820542507494203,2.8930855213184155e-06,0.5498796395178129,8.975462575769645e-05,0.5817532795929112,0.0005014552188256668,0.6324933520899044,0.00027128881498467096,2.1140652851777433,0.003661123073500033,10,5,True
