sample_index,clean_index,trajectory_seed,replicate_id,noise_seed,alpha,method,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,rmse,relative_rmse,denoising_gain,rmse_x,rmse_y,rmse_z
9,4,4,1,1009,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=3,,,384,2.0,10.689295039164492,compact_polynomial,3,1.3238433287754194,0.0816667582264133,0.5488503248713226,0.5716612315835582,0.603155758422603,2.1370751144532965
0,0,0,0,1000,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=4,,,384,2.0,10.689295039164492,compact_polynomial,4,1.253774205135479,0.07740788378019735,0.5799658109205909,0.5633389524129222,0.6329887917757914,1.999455847617005
1,0,0,1,1001,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=4,,,384,2.0,10.689295039164492,compact_polynomial,4,1.2741222709649178,0.0786641711630653,0.5770203205319944,0.5729267234435482,0.6148496842825995,2.0405581391884504
2,1,1,0,1002,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=4,,,384,2.0,10.689295039164492,compact_polynomial,4,1.2523133079962043,0.07899709750404287,0.5631336283628665,0.5151281954284609,0.5697671926246854,2.028515258171942
3,1,1,1,1003,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=4,,,384,2.0,10.689295039164492,compact_polynomial,4,1.2033993839450057,0.07591156131840521,0.5788469516318616,0.5227756810329655,0.5873928058282845,1.9303330051624128
4,2,2,0,1004,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=4,,,384,2.0,10.689295039164492,compact_polynomial,4,1.3256849343709607,0.08281037539535527,0.5455381648121445,0.5418012158014934,0.6081396997919343,2.1468440054525173
5,2,2,1,1005,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=4,,,384,2.0,10.689295039164492,compact_polynomial,4,1.186573313075065,0.07412061413859344,0.5943822163948406,0.5636585854852268,0.6033185848041429,1.8820638581473608
6,3,3,0,1006,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=4,,,384,2.0,10.689295039164492,compact_polynomial,4,1.242720486956999,0.07757012825817972,0.5704748157425531,0.56619035537798,0.5857791111562316,1.9923237539410843
7,3,3,1,1007,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=4,,,384,2.0,10.689295039164492,compact_polynomial,4,1.1873407601831327,0.07411334730555316,0.5921221501396997,0.5472948620039508,0.6021771989390523,1.8886993401488692
8,4,4,0,1008,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=4,,,384,2.0,10.689295039164492,compact_polynomial,4,1.2926153349182399,0.0797403300994617,0.5653889819811797,0.5410898831429656,0.6213646691989975,2.0817518820524543
9,4,4,1,1009,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=2|degree=4,,,384,2.0,10.689295039164492,compact_polynomial,4,1.3227654554710495,0.08160026514778888,0.549217650959332,0.570304259735136,0.6075953519956256,2.1341757870718765
